date,Consumer Price Inflation,Crude WTI,Durable Goods Orders,FED Interest Rate,Non Farm Payrolls,Retail Sales,Treasury 10year Yield,Treasury 2year Yield,Treasury 5year Yield,Unemployment Rate
1993-09-01,145.1,17.50,134114,3.09,111926,159298,5.36,3.85,4.73,6.7
1993-10-01,145.7,18.15,135483,2.99,112591,163992,5.33,3.87,4.71,6.8
1993-11-01,145.8,16.61,131460,3.02,112935,169980,5.72,4.16,5.06,6.6
1993-12-01,145.8,14.52,138273,2.96,113084,206174,5.77,4.21,5.15,6.5
1994-01-01,146.2,15.03,131392,3.05,110833,145276,5.75,4.14,5.09,6.6
1994-02-01,146.7,14.78,139057,3.25,111414,146332,5.97,4.47,5.40,6.6
1994-03-01,147.2,14.68,149256,3.34,112389,173562,6.48,5.00,5.94,6.5
1994-04-01,147.4,16.42,137847,3.56,113467,170795,6.97,5.55,6.52,6.4
1994-05-01,147.5,17.89,140366,4.01,114479,175527,7.18,5.97,6.78,6.1
1994-06-01,148.0,19.06,155070,4.25,115271,178509,7.10,5.93,6.70,6.1
1994-07-01,148.4,19.66,119501,4.26,114324,173198,7.30,6.13,6.91,6.1
1994-08-01,149.0,18.38,142852,4.47,114634,182445,7.24,6.18,6.88,6.0
1994-09-01,149.4,17.45,153625,4.73,115693,175128,7.46,6.39,7.08,5.9
1994-10-01,149.5,17.72,151572,4.76,116318,178642,7.74,6.73,7.40,5.8
1994-11-01,149.7,18.07,150202,5.29,116926,184272,7.96,7.15,7.72,5.6
1994-12-01,149.7,17.16,154895,5.45,116964,221549,7.81,7.59,7.78,5.5
1995-01-01,150.3,18.04,143440,5.53,114655,158004,7.78,7.51,7.76,5.6
1995-02-01,150.9,18.57,156606,5.92,115315,155156,7.47,7.11,7.37,5.4
1995-03-01,151.4,18.54,167745,5.98,116071,181910,7.20,6.78,7.05,5.4
1995-04-01,151.9,19.90,146225,6.05,116902,176635,7.06,6.57,6.86,5.8
1995-05-01,152.2,19.74,151770,6.01,117625,190269,6.63,6.17,6.41,5.6
1995-06-01,152.5,18.45,161688,6.00,118340,191609,6.17,5.72,5.93,5.6
1995-07-01,152.5,17.33,123259,5.85,117106,182909,6.28,5.78,6.01,5.7
1995-08-01,152.9,18.02,151465,5.74,117370,193370,6.49,5.98,6.24,5.7
1995-09-01,153.2,18.23,168324,5.80,118286,182521,6.20,5.81,6.00,5.6
1995-10-01,153.7,17.43,158469,5.76,118888,184276,6.04,5.70,5.86,5.5
1995-11-01,153.6,17.99,156881,5.80,119125,193405,5.93,5.48,5.69,5.6
1995-12-01,153.5,19.03,163769,5.60,119123,227552,5.71,5.32,5.51,5.6
1996-01-01,154.4,18.86,150440,5.56,116423,167372,5.65,5.11,5.36,5.6
1996-02-01,154.9,19.09,159185,5.22,117364,173941,5.81,5.03,5.38,5.5
1996-03-01,155.7,21.33,176264,5.31,118167,191851,6.27,5.66,5.97,5.5
1996-04-01,156.3,23.50,155093,5.22,119005,191886,6.51,5.96,6.30,5.6
1996-05-01,156.6,21.17,163769,5.24,120132,205797,6.74,6.10,6.48,5.6
1996-06-01,156.7,20.42,172897,5.27,120795,196842,6.91,6.30,6.69,5.3
1996-07-01,157.0,21.30,138374,5.40,119758,197140,6.87,6.27,6.64,5.5
1996-08-01,157.3,21.90,153637,5.22,120051,204270,6.64,6.03,6.39,5.1
1996-09-01,157.8,23.97,174797,5.30,120795,189424,6.83,6.23,6.60,5.2
1996-10-01,158.3,24.88,169459,5.24,121516,201927,6.53,5.91,6.27,5.2
1996-11-01,158.6,23.71,168650,5.31,121976,203621,6.20,5.70,5.97,5.4
1996-12-01,158.6,25.23,166228,5.29,121955,237478,6.30,5.78,6.07,5.4
