,optionSymbol,expiration,side,strike,bid,ask,last,openInterest,volume,ticker,sector,logo
51,MSFT231215C00375000,1702674000,call,375.0,8.5,8.6,8.6,14052,1410,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
52,MSFT231215C00377500,1702674000,call,377.5,7.05,7.2,7.15,740,241,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
53,MSFT231215C00380000,1702674000,call,380.0,5.8,5.9,5.85,20157,1000,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
54,MSFT231215C00382500,1702674000,call,382.5,4.7,4.75,4.8,631,152,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
55,MSFT231215C00385000,1702674000,call,385.0,3.75,3.8,3.8,13618,1124,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
56,MSFT231215C00387500,1702674000,call,387.5,2.97,3.05,2.95,1174,154,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
57,MSFT231215C00390000,1702674000,call,390.0,2.33,2.36,2.36,7821,592,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
58,MSFT231215C00392500,1702674000,call,392.5,1.81,1.85,1.84,491,220,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
59,MSFT231215C00395000,1702674000,call,395.0,1.41,1.44,1.43,18434,523,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
60,MSFT231215C00400000,1702674000,call,400.0,0.86,0.89,0.88,8643,573,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
61,MSFT231215C00405000,1702674000,call,405.0,0.55,0.57,0.56,2391,84,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
62,MSFT231215C00410000,1702674000,call,410.0,0.37,0.38,0.37,3444,169,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
63,MSFT231215C00415000,1702674000,call,415.0,0.25,0.28,0.26,3644,815,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
64,MSFT231215C00420000,1702674000,call,420.0,0.18,0.2,0.19,1456,15,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
65,MSFT231215C00425000,1702674000,call,425.0,0.14,0.15,0.14,2016,7,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
66,MSFT231215C00430000,1702674000,call,430.0,0.1,0.11,0.11,622,35,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
67,MSFT231215C00435000,1702674000,call,435.0,0.08,0.1,0.08,896,11,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
68,MSFT231215C00440000,1702674000,call,440.0,0.06,0.08,0.11,4521,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
69,MSFT231215C00445000,1702674000,call,445.0,0.04,0.06,0.07,475,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
70,MSFT231215C00450000,1702674000,call,450.0,0.03,0.05,0.06,598,1,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
71,MSFT231215C00455000,1702674000,call,455.0,0.03,0.04,0.04,257,1,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
72,MSFT231215C00460000,1702674000,call,460.0,0.02,0.04,0.04,209,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
73,MSFT231215C00465000,1702674000,call,465.0,0.01,0.03,0.03,264,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
74,MSFT231215C00470000,1702674000,call,470.0,0.01,0.03,0.04,975,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
75,MSFT231215C00475000,1702674000,call,475.0,0.01,0.02,0.03,325,12,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
76,MSFT231215C00480000,1702674000,call,480.0,0.01,0.02,0.01,1311,13,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
77,MSFT231215C00485000,1702674000,call,485.0,0.0,0.02,0.03,671,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
78,MSFT231215C00490000,1702674000,call,490.0,0.0,0.02,0.02,442,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
79,MSFT231215C00495000,1702674000,call,495.0,0.0,0.02,0.02,312,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
80,MSFT231215C00500000,1702674000,call,500.0,0.0,0.02,0.01,353,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
81,MSFT231215C00505000,1702674000,call,505.0,0.0,0.01,0.01,301,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
82,MSFT231215C00510000,1702674000,call,510.0,0.0,0.01,0.01,458,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
83,MSFT231215C00515000,1702674000,call,515.0,0.0,0.01,0.01,711,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
84,MSFT231215C00520000,1702674000,call,520.0,0.0,0.01,0.01,476,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
85,MSFT231215C00525000,1702674000,call,525.0,0.0,0.01,0.02,301,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
86,MSFT231215C00530000,1702674000,call,530.0,0.0,0.01,0.01,197,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
87,MSFT231215C00535000,1702674000,call,535.0,0.0,0.01,0.02,129,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
88,MSFT231215C00540000,1702674000,call,540.0,0.0,0.01,0.02,2587,15,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
89,MSFT231215P00160000,1702674000,put,160.0,0.0,0.01,0.01,636,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
90,MSFT231215P00165000,1702674000,put,165.0,0.0,0.01,0.01,161,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
91,MSFT231215P00170000,1702674000,put,170.0,0.0,0.02,0.01,57,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
92,MSFT231215P00175000,1702674000,put,175.0,0.0,0.02,0.01,64,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
93,MSFT231215P00180000,1702674000,put,180.0,0.0,0.02,0.01,597,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
94,MSFT231215P00185000,1702674000,put,185.0,0.0,0.02,0.01,575,10,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
95,MSFT231215P00190000,1702674000,put,190.0,0.0,0.02,0.01,509,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
96,MSFT231215P00195000,1702674000,put,195.0,0.0,0.02,0.01,190,10,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
97,MSFT231215P00200000,1702674000,put,200.0,0.0,0.01,0.01,892,51,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
98,MSFT231215P00205000,1702674000,put,205.0,0.0,0.01,0.01,516,120,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
99,MSFT231215P00210000,1702674000,put,210.0,0.0,0.01,0.01,396,10,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
100,MSFT231215P00215000,1702674000,put,215.0,0.0,0.02,0.01,392,56,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
101,MSFT231215P00220000,1702674000,put,220.0,0.01,0.02,0.01,1817,145,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
102,MSFT231215P00225000,1702674000,put,225.0,0.01,0.02,0.01,337,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
103,MSFT231215P00230000,1702674000,put,230.0,0.01,0.03,0.03,946,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
104,MSFT231215P00235000,1702674000,put,235.0,0.01,0.03,0.02,908,54,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
105,MSFT231215P00240000,1702674000,put,240.0,0.01,0.03,0.02,1094,2,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
106,MSFT231215P00245000,1702674000,put,245.0,0.02,0.04,0.03,733,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
107,MSFT231215P00250000,1702674000,put,250.0,0.02,0.04,0.03,1303,2,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
108,MSFT231215P00255000,1702674000,put,255.0,0.02,0.04,0.03,2356,0,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
109,MSFT231215P00260000,1702674000,put,260.0,0.03,0.05,0.03,4298,8,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
110,MSFT231215P00265000,1702674000,put,265.0,0.03,0.05,0.04,1591,13,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
111,MSFT231215P00270000,1702674000,put,270.0,0.04,0.06,0.04,2203,15,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
112,MSFT231215P00275000,1702674000,put,275.0,0.04,0.06,0.06,4546,2,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
113,MSFT231215P00280000,1702674000,put,280.0,0.05,0.07,0.07,4003,93,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
114,MSFT231215P00285000,1702674000,put,285.0,0.06,0.08,0.07,3671,7,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
115,MSFT231215P00290000,1702674000,put,290.0,0.07,0.09,0.08,5154,2,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
116,MSFT231215P00295000,1702674000,put,295.0,0.09,0.1,0.1,16499,112,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
117,MSFT231215P00300000,1702674000,put,300.0,0.1,0.11,0.1,16876,26,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
118,MSFT231215P00305000,1702674000,put,305.0,0.11,0.13,0.12,4439,25,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
119,MSFT231215P00310000,1702674000,put,310.0,0.13,0.15,0.15,6565,97,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
120,MSFT231215P00315000,1702674000,put,315.0,0.15,0.17,0.16,4748,70,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
121,MSFT231215P00320000,1702674000,put,320.0,0.17,0.18,0.18,8037,72,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
122,MSFT231215P00325000,1702674000,put,325.0,0.22,0.23,0.22,10546,38,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
123,MSFT231215P00330000,1702674000,put,330.0,0.25,0.26,0.26,9017,116,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
124,MSFT231215P00335000,1702674000,put,335.0,0.3,0.31,0.31,6831,62,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
125,MSFT231215P00337500,1702674000,put,337.5,0.32,0.34,0.38,559,11,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
126,MSFT231215P00340000,1702674000,put,340.0,0.36,0.38,0.38,5324,727,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
127,MSFT231215P00342500,1702674000,put,342.5,0.41,0.44,0.44,330,14,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
128,MSFT231215P00345000,1702674000,put,345.0,0.48,0.5,0.5,5258,58,MSFT,Technology,https://storage.googleapis.com/iexcloud-hl37opg/api/logos/MSFT.png
